event_date,year,district,event_type,actor1,actor2,fatalities,latitude,longitude,month,year_month,season,event_count,rolling_event_count_30d
2011-05-16,2011,Bishnupur,Strategic developments,State Forces,,0,24.287610671867665,93.8594107985071,5,2011-05,Pre-Monsoon,1,1.0
2011-09-09,2011,Bishnupur,Riots,State Forces,,1,24.77514579150008,93.92862678639707,9,2011-09,Monsoon,1,1.0
2012-01-12,2012,Bishnupur,Explosions/Remote violence,Protesters,Protesters,0,24.514267353590345,94.06615562601064,1,2012-01,Winter,1,1.0
2012-11-11,2012,Bishnupur,Strategic developments,Unidentified Armed Group,Rebel Group A,0,25.071814473213283,94.10690378856933,11,2012-11,Post-Monsoon,1,1.0
2013-06-23,2013,Bishnupur,Protests,Protesters,State Forces,0,24.969074716040893,94.22271060952932,6,2013-06,Monsoon,1,1.0
2013-08-05,2013,Bishnupur,Riots,Rebel Group B,State Forces,0,24.63500081777483,93.77779677236602,8,2013-08,Monsoon,1,1.0
2013-08-09,2013,Bishnupur,Protests,Protesters,Civilians,0,24.864626815281262,94.28360200083534,8,2013-08,Monsoon,1,2.0
2013-12-03,2013,Bishnupur,Explosions/Remote violence,State Forces,Civilians,2,24.692965388958463,93.78933667585794,12,2013-12,Winter,1,1.0
2013-12-25,2013,Bishnupur,Battles,Protesters,,0,25.030479040930043,93.9605221573888,12,2013-12,Winter,1,2.0
2014-01-04,2014,Bishnupur,Battles,Rebel Group B,Unidentified Armed Group,3,24.794116554478126,93.4383257032466,1,2014-01,Winter,1,2.0
2014-02-19,2014,Bishnupur,Strategic developments,Unidentified Armed Group,,0,25.070072206834105,93.61690355652802,2,2014-02,Winter,1,1.0
2014-03-25,2014,Bishnupur,Battles,Civilians,,5,25.11432786297941,93.65599024608557,3,2014-03,Pre-Monsoon,1,1.0
2014-07-23,2014,Bishnupur,Battles,Protesters,Rebel Group A,1,25.294430659719247,93.91416050697283,7,2014-07,Monsoon,1,1.0
2014-08-29,2014,Bishnupur,Violence against civilians,State Forces,Protesters,0,23.98160930656537,94.17813173303328,8,2014-08,Monsoon,1,1.0
2014-09-25,2014,Bishnupur,Battles,Protesters,Rebel Group A,1,24.35698237332438,93.58913470331794,9,2014-09,Monsoon,1,2.0
2014-10-12,2014,Bishnupur,Riots,Civilians,State Forces,0,24.7488017238057,93.51563199457996,10,2014-10,Post-Monsoon,1,2.0
2014-11-04,2014,Bishnupur,Protests,Civilians,,0,25.107287916578095,93.87160872577496,11,2014-11,Post-Monsoon,1,2.0
2014-12-18,2014,Bishnupur,Violence against civilians,Rebel Group B,Rebel Group B,0,24.59048980122685,94.5057812205722,12,2014-12,Winter,1,1.0
2015-01-03,2015,Bishnupur,Protests,Unidentified Armed Group,Civilians,0,24.586874173821087,93.84163696924504,1,2015-01,Winter,1,2.0
2015-04-18,2015,Bishnupur,Explosions/Remote violence,Rebel Group A,,1,24.772619020118867,94.26311802540168,4,2015-04,Pre-Monsoon,1,1.0
2015-05-17,2015,Bishnupur,Protests,Protesters,Rebel Group B,0,24.829092309799076,94.20527901846968,5,2015-05,Pre-Monsoon,1,2.0
2015-05-20,2015,Bishnupur,Strategic developments,Unidentified Armed Group,Rebel Group B,0,24.55562593566552,93.86877517181054,5,2015-05,Pre-Monsoon,1,2.0
2015-05-24,2015,Bishnupur,Explosions/Remote violence,Unidentified Armed Group,Protesters,2,24.825536852734448,93.42754409625998,5,2015-05,Pre-Monsoon,1,3.0
2015-09-21,2015,Bishnupur,Riots,Unidentified Armed Group,Protesters,0,24.480873202026515,93.90381868538896,9,2015-09,Monsoon,1,1.0
