event_id_cnty,event_date,year,event_type,actor1,actor2,country,admin1,admin2,latitude,longitude,fatalities
IND84342,2010-04-19,2010,Riots,Rebel Group B,None,India,Manipur,Kakching,24.316651745674875,93.5211307208302,0
IND30551,2010-05-08,2010,Riots,State Forces,Civilians,India,Manipur,Kakching,24.890229533050714,94.01897332605417,1
IND32559,2010-05-21,2010,Explosions/Remote violence,Rebel Group B,None,India,Manipur,Senapati,24.64549890181699,94.13087135697697,1
IND41568,2010-07-17,2010,Protests,Protesters,None,India,Manipur,Ukhrul,24.704912758688216,94.30982070264496,0
IND71651,2010-08-09,2010,Violence against civilians,Protesters,Rebel Group A,India,Manipur,Churachandpur,25.102530875415084,93.46628250943883,0
IND68384,2010-09-28,2010,Riots,Rebel Group B,Rebel Group A,India,Manipur,Kamjong,25.011393175070737,94.19747796868536,0
IND32547,2010-10-19,2010,Violence against civilians,Unidentified Armed Group,Unidentified Armed Group,India,Manipur,Kangpokpi,24.646796454487813,94.04446379913398,0
IND61375,2010-10-20,2010,Riots,Rebel Group A,State Forces,India,Manipur,Imphal East,24.95223287609523,94.14908789894676,0
IND78259,2010-11-05,2010,Protests,Protesters,None,India,Manipur,Churachandpur,24.6962851907427,94.12498736038565,0
IND27455,2010-11-19,2010,Protests,Civilians,None,India,Manipur,Thoubal,24.904782172451682,93.65822935645991,0
IND53346,2010-12-23,2010,Riots,Protesters,Rebel Group A,India,Manipur,Kakching,24.580734567811387,93.79581263804806,0
IND79110,2011-01-17,2011,Violence against civilians,Unidentified Armed Group,Civilians,India,Manipur,Thoubal,25.02845846445873,94.04137122328852,0
IND96944,2011-01-22,2011,Riots,Civilians,Civilians,India,Manipur,Churachandpur,25.043925415201123,94.119176345329,0
IND21164,2011-02-01,2011,Explosions/Remote violence,State Forces,Protesters,India,Manipur,Kamjong,24.776160098731474,94.83389865021526,6
IND93473,2011-02-05,2011,Riots,Rebel Group A,None,India,Manipur,Churachandpur,24.481895333788728,93.89641742915298,1
IND80188,2011-02-08,2011,Riots,Civilians,Unidentified Armed Group,India,Manipur,Imphal West,25.198746233979623,93.93844776507302,0
IND29098,2011-02-13,2011,Riots,Civilians,Rebel Group B,India,Manipur,Kakching,24.39570507499115,93.76168380629318,1
IND27144,2011-02-17,2011,Protests,Rebel Group B,Rebel Group B,India,Manipur,Imphal West,24.800335690331014,93.89992660803456,0
IND32911,2011-02-19,2011,Protests,State Forces,None,India,Manipur,Imphal East,25.01886943547513,93.6323987647125,0
IND34182,2011-02-24,2011,Explosions/Remote violence,Protesters,Protesters,India,Manipur,Pherzawl,24.498696820363595,94.2962676179604,4
IND97441,2011-03-06,2011,Protests,Rebel Group B,Civilians,India,Manipur,Imphal West,24.707831324909723,94.1230451602736,0
IND55419,2011-04-12,2011,Battles,Civilians,Civilians,India,Manipur,Imphal West,24.64008841164663,93.90579506687494,0
IND53872,2011-04-19,2011,Battles,Rebel Group B,None,India,Manipur,Noney,25.246744575235752,94.38973139373789,6
IND63006,2011-05-13,2011,Riots,Civilians,Protesters,India,Manipur,Kamjong,24.864418251251408,94.31926460629157,1
IND90748,2011-05-16,2011,Strategic developments,State Forces,None,India,Manipur,Bishnupur,24.287610671867665,93.8594107985071,0
IND90905,2011-05-25,2011,Protests,State Forces,State Forces,India,Manipur,Kamjong,24.77724499613743,93.03094635325375,0
IND69753,2011-06-02,2011,Riots,Unidentified Armed Group,State Forces,India,Manipur,Churachandpur,24.947333142046613,94.02118813292267,0
IND73190,2011-06-05,2011,Riots,Rebel Group B,Rebel Group A,India,Manipur,Jiribam,24.859387308222132,93.9110670454483,1
IND36341,2011-06-25,2011,Protests,Rebel Group B,None,India,Manipur,Senapati,24.823475359499252,93.79288571512429,0
IND86749,2011-06-29,2011,Explosions/Remote violence,Rebel Group A,State Forces,India,Manipur,Pherzawl,25.048079958544932,93.69549495265038,3
IND80412,2011-07-29,2011,Violence against civilians,Rebel Group A,Civilians,India,Manipur,Imphal West,24.863264554921905,93.79924170727523,1
IND98742,2011-09-06,2011,Strategic developments,Rebel Group B,Civilians,India,Manipur,Senapati,24.770882001790806,94.06447904290854,0
IND67531,2011-09-09,2011,Riots,State Forces,None,India,Manipur,Bishnupur,24.77514579150008,93.92862678639709,1
IND78990,2011-09-11,2011,Strategic developments,Civilians,None,India,Manipur,Chandel,24.294706522607036,93.75181290824963,0
IND10204,2011-10-02,2011,Violence against civilians,Civilians,None,India,Manipur,Chandel,24.95930348616149,93.59189554203263,2
IND40589,2011-10-13,2011,Riots,State Forces,None,India,Manipur,Churachandpur,24.909837998801038,94.2732182059911,0
IND93574,2011-10-29,2011,Riots,Protesters,None,India,Manipur,Imphal West,24.753545597742043,93.72431709849896,0
IND53642,2011-11-03,2011,Explosions/Remote violence,Rebel Group B,Unidentified Armed Group,India,Manipur,Pherzawl,24.71271496616556,93.86308735673501,2
IND92638,2011-11-08,2011,Riots,Protesters,Rebel Group A,India,Manipur,Imphal West,25.445796187140637,94.13362381889198,0
IND47841,2011-11-18,2011,Explosions/Remote violence,State Forces,Protesters,India,Manipur,Tamenglong,25.363163172382546,93.99964102509433,0
IND55203,2011-11-18,2011,Battles,Unidentified Armed Group,None,India,Manipur,Churachandpur,24.71996863973662,93.551095274526,3
IND94314,2011-12-11,2011,Battles,Unidentified Armed Group,None,India,Manipur,Noney,24.818346889370027,94.32965567194017,3
IND93697,2011-12-12,2011,Riots,Rebel Group B,State Forces,India,Manipur,Tengnoupal,24.094570365505458,94.25841351347876,0
IND42831,2011-12-14,2011,Riots,Rebel Group A,None,India,Manipur,Churachandpur,25.055549733260968,94.33692539463112,0
IND27573,2011-12-18,2011,Battles,Protesters,None,India,Manipur,Thoubal,24.41406241970664,93.81811988802629,2
IND74061,2011-12-26,2011,Battles,Rebel Group B,Civilians,India,Manipur,Churachandpur,24.511459179351387,94.4425450959131,0
IND95558,2011-12-29,2011,Protests,Rebel Group A,Rebel Group B,India,Manipur,Tamenglong,24.915870504697,93.37626012149674,0
IND24206,2012-01-12,2012,Explosions/Remote violence,Protesters,Protesters,India,Manipur,Bishnupur,24.514267353590345,94.06615562601064,0
IND85676,2012-01-23,2012,Battles,Civilians,Civilians,India,Manipur,Imphal West,24.825540682131525,93.89554253289462,0
IND15504,2012-02-21,2012,Riots,State Forces,Rebel Group A,India,Manipur,Tengnoupal,24.56423483519462,94.14254944873979,0
IND58108,2012-02-27,2012,Riots,Civilians,None,India,Manipur,Imphal East,25.18353937420571,94.00418740934687,1
IND57163,2012-03-02,2012,Violence against civilians,Unidentified Armed Group,Unidentified Armed Group,India,Manipur,Imphal East,24.78954022997196,93.83976891405719,0
IND31327,2012-03-03,2012,Battles,Unidentified Armed Group,Rebel Group A,India,Manipur,Thoubal,24.79523601541795,94.03095717373225,4
IND41194,2012-03-03,2012,Riots,Unidentified Armed Group,Rebel Group B,India,Manipur,Imphal East,24.604140742837775,93.81094854336304,0
IND20556,2012-03-05,2012,Battles,Unidentified Armed Group,Unidentified Armed Group,India,Manipur,Kangpokpi,24.929796091650964,93.85390058761674,4
IND68855,2012-03-13,2012,Violence against civilians,Civilians,Civilians,India,Manipur,Ukhrul,25.12557211700526,94.05082023217216,1
IND99362,2012-03-31,2012,Protests,State Forces,Unidentified Armed Group,India,Manipur,Tamenglong,24.578130187997164,93.77136663870186,0
IND53368,2012-04-07,2012,Riots,Unidentified Armed Group,Protesters,India,Manipur,Imphal West,24.599460327843666,94.23696449771046,0
IND71486,2012-04-07,2012,Riots,Civilians,None,India,Manipur,Tengnoupal,25.435064986427527,93.64312727699087,3
IND53146,2012-04-21,2012,Violence against civilians,State Forces,None,India,Manipur,Imphal West,24.84662588561139,94.15913613998408,0
IND38568,2012-04-26,2012,Strategic developments,Rebel Group B,State Forces,India,Manipur,Ukhrul,25.000456328111238,94.2694991357371,0
IND15745,2012-04-29,2012,Explosions/Remote violence,Civilians,State Forces,India,Manipur,Tamenglong,24.36724563941269,93.6905363232771,2
IND65176,2012-04-29,2012,Battles,Protesters,Protesters,India,Manipur,Churachandpur,24.636205658408407,94.32735475044804,2
IND30600,2012-05-01,2012,Protests,Unidentified Armed Group,None,India,Manipur,Tengnoupal,24.461523037930704,94.29032909769268,0
IND68325,2012-05-13,2012,Protests,Unidentified Armed Group,Protesters,India,Manipur,Pherzawl,24.242625410354783,93.73552593464257,0
IND49218,2012-05-14,2012,Violence against civilians,Rebel Group B,None,India,Manipur,Imphal West,25.049480487826614,93.78257776660985,0
IND86693,2012-05-25,2012,Protests,Unidentified Armed Group,Rebel Group B,India,Manipur,Jiribam,24.84501065824095,94.03490354750579,0
IND19114,2012-06-01,2012,Riots,Rebel Group B,Protesters,India,Manipur,Imphal East,24.987120765635677,93.70488584396695,0
IND31071,2012-06-01,2012,Strategic developments,Unidentified Armed Group,Unidentified Armed Group,India,Manipur,Noney,25.072949591923958,93.86172915030288,0
IND56113,2012-06-02,2012,Protests,State Forces,None,India,Manipur,Senapati,24.50420136810771,93.46954090304112,0
IND31880,2012-06-03,2012,Strategic developments,Civilians,None,India,Manipur,Churachandpur,24.864946897632638,94.10509265516336,0
IND57512,2012-06-07,2012,Strategic developments,Civilians,None,India,Manipur,Imphal East,24.936102086980704,94.03258582545165,0
IND80043,2012-06-13,2012,Riots,Unidentified Armed Group,Rebel Group B,India,Manipur,Tamenglong,24.65598423180832,93.83345877124397,1
IND60859,2012-06-21,2012,Strategic developments,State Forces,Rebel Group A,India,Manipur,Thoubal,24.516368822610872,93.92760316839427,0
IND61660,2012-07-01,2012,Protests,Civilians,Civilians,India,Manipur,Ukhrul,24.655235795258125,94.28761822210889,0
IND65480,2012-07-01,2012,Riots,Unidentified Armed Group,Protesters,India,Manipur,Ukhrul,24.203313132716318,93.38537208412423,1
IND73797,2012-07-03,2012,Riots,Unidentified Armed Group,None,India,Manipur,Imphal West,24.888931052074792,93.69439302360608,2
IND93634,2012-07-05,2012,Riots,Rebel Group A,None,India,Manipur,Thoubal,24.94794022856051,93.78261690222992,3
IND51580,2012-07-07,2012,Riots,Rebel Group A,Protesters,India,Manipur,Imphal East,24.588627328392835,93.92762816469725,2
IND17512,2012-07-08,2012,Strategic developments,Rebel Group A,State Forces,India,Manipur,Imphal West,24.97756454428291,93.80759708241195,0
IND89283,2012-07-10,2012,Riots,Protesters,Unidentified Armed Group,India,Manipur,Imphal East,25.01027226612422,93.53934810967732,0
IND75047,2012-07-12,2012,Explosions/Remote violence,Rebel Group B,Unidentified Armed Group,India,Manipur,Senapati,24.638611087523984,93.88589605145953,2
IND85731,2012-07-13,2012,Protests,Unidentified Armed Group,State Forces,India,Manipur,Thoubal,24.336021859955217,93.73141105227201,0
IND90848,2012-07-27,2012,Protests,Rebel Group A,Protesters,India,Manipur,Jiribam,24.86461467902508,94.17733749023925,0
IND53587,2012-08-14,2012,Battles,Unidentified Armed Group,Rebel Group B,India,Manipur,Kangpokpi,24.901917863952672,93.57406661330344,1
IND83533,2012-08-22,2012,Battles,Rebel Group B,Unidentified Armed Group,India,Manipur,Imphal East,24.571314266507883,93.94215659044465,2
IND15951,2012-08-27,2012,Riots,Rebel Group B,None,India,Manipur,Churachandpur,24.87205354692632,94.0427472869668,1
